"species_name","decimalLatitude","decimalLongitude"
"Centropogon_costaricae",9.841667,-84.122222
"Centropogon_costaricae",9.031111,-82.821389
"Centropogon_costaricae",9.451944,-83.524444
"Centropogon_costaricae",10.931389,-85.459722
"Centropogon_costaricae",10.141111,-84.093278
"Centropogon_costaricae",9.717222,-84.121667
"Centropogon_costaricae",9.686111,-83.883333
"Centropogon_costaricae",9.558333,-83.691667
"Centropogon_costaricae",9.693092,-83.867722
"Centropogon_costaricae",10.321389,-84.81
"Centropogon_costaricae",9.35,-83.222222
"Centropogon_costaricae",9.6,-83.666667
"Centropogon_costaricae",9.503056,-83.704722
"Centropogon_costaricae",10.927222,-85.493889
"Centropogon_costaricae",9.716666,-83.93466
"Centropogon_costaricae",9.613611,-83.8175
"Centropogon_costaricae",9.568056,-83.665278
"Centropogon_costaricae",9.558456,-83.724961
"Centropogon_costaricae",9.727222,-84.136389
"Centropogon_costaricae",10.122778,-84.120833
"Centropogon_costaricae",9.025,-82.816667
"Centropogon_costaricae",9.497778,-83.488889
"Centropogon_costaricae",9.686833,-83.923308
"Centropogon_costaricae",9.454167,-83.538889
"Centropogon_costaricae",9.535392,-83.571033
"Centropogon_costaricae",9.541109,-83.584439
"Centropogon_costaricae",9.726528,-83.856737
"Centropogon_costaricae",9.69129,-83.876832
"Centropogon_costaricae",9.685278,-83.876389
"Centropogon_costaricae",10.302639,-84.795167
"Centropogon_costaricae",9.841667,-84.126389
"Centropogon_costaricae",9.686771,-83.87775
"Centropogon_costaricae",9.529722,-83.591667
"Centropogon_costaricae",9.35503,-83.22497
"Centropogon_costaricae",10.926667,-85.468333
"Centropogon_costaricae",8.904935,-82.751079
"Centropogon_costaricae",9.670833,-83.855556
"Centropogon_costaricae",9.631944,-83.830278
"Centropogon_costaricae",10.150833,-84.585278
"Centropogon_costaricae",10.158889,-84.589444
"Centropogon_costaricae",9.520306,-83.208639
"Centropogon_costaricae",10.15,-84.15
"Centropogon_costaricae",9.38898,-83.20962
"Centropogon_costaricae",9.418556,-83.200028
"Centropogon_costaricae",9.449444,-83.523611
"Centropogon_costaricae",10.928889,-85.466944
"Centropogon_costaricae",9.68412,-83.876447
"Centropogon_costaricae",9.617778,-83.847778
"Centropogon_costaricae",10.185744,-84.291333
"Centropogon_costaricae",9.876843,-84.142271
"Centropogon_costaricae",9.877018,-84.1416
"Centropogon_costaricae",9.539853,-83.813154
"Centropogon_costaricae",9.645667,-83.853124
"Centropogon_costaricae",9.641188,-83.839486
"Centropogon_costaricae",9.880169,-84.151167
"Centropogon_costaricae",9.452961,-83.538603
"Centropogon_costaricae",9.59138,-83.769226
"Centropogon_costaricae",10.296588,-84.808344
"Centropogon_costaricae",9.633065,-83.853438
"Centropogon_costaricae",9.562398,-83.725262
"Centropogon_costaricae",9.614481,-83.819136
"Centropogon_costaricae",9.877008,-84.141653
"Centropogon_costaricae",9.549785,-83.800772
"Centropogon_costaricae",9.876635,-84.142503
"Centropogon_costaricae",9.639167,-83.840775
"Centropogon_costaricae",9.526713,-83.701851
"Centropogon_costaricae",10.298395,-84.783722
"Centropogon_costaricae",9.551808,-83.797347
"Centropogon_costaricae",9.683069,-83.900394
"Centropogon_costaricae",9.870014,-84.146258
"Centropogon_costaricae",9.550448,-83.792808
"Centropogon_costaricae",9.644995,-83.85015
"Centropogon_costaricae",9.877408,-84.140897
"Centropogon_costaricae",9.337472,-83.910897
"Centropogon_costaricae",9.861192,-84.143719
"Centropogon_costaricae",10.303512,-84.791521
"Centropogon_costaricae",10.298457,-84.783795
"Centropogon_costaricae",9.876167,-84.142897
"Centropogon_costaricae",9.548107,-83.801274
"Centropogon_costaricae",9.876944,-84.141667
"Centropogon_costaricae",9.877525,-84.140863
"Centropogon_costaricae",10.138889,-84.09444
"Centropogon_costaricae",10.12,-84.09
"Centropogon_costaricae",9.61,-83.8
"Centropogon_costaricae",10.33333,-84.83333
"Centropogon_costaricae",10.33,-84.75
"Centropogon_costaricae",9.281111,-83.008611
"Centropogon_costaricae",9.616667,-83.819444
"Centropogon_costaricae",9.49,-83.48
"Centropogon_costaricae",9.63,-83.83
"Centropogon_costaricae",9.084167,-82.877778
"Centropogon_costaricae",9.135944,-82.960667
"Centropogon_costaricae",10.175,-84.108333
"Centropogon_costaricae",9.133333,-82.966667
"Centropogon_costaricae",10.92,-85.46
"Centropogon_costaricae",10.92,-85.49
"Centropogon_costaricae",9.404167,-83.081944
"Centropogon_costaricae",9.53,-83.57
"Centropogon_costaricae",9.475,-83.526389
"Centropogon_costaricae",9.55,-83.7
"Centropogon_costaricae",9.34,-83.45
"Centropogon_costaricae",9.56,-83.75
"Centropogon_costaricae",9.546833,-83.811361
"Centropogon_costaricae",10.19,-84.1
"Centropogon_costaricae",9.083333,-82.933333
"Centropogon_costaricae",9.65527,-83.84833
"Centropogon_costaricae",9.47194,-83.69444
"Centropogon_costaricae",9.61666,-84.18333
"Centropogon_costaricae",10.933333,-85.45
"Centropogon_costaricae",9.211111,-83.067778
"Centropogon_costaricae",9.55833,-83.69
"Centropogon_costaricae",10.333333,-84.833333
"Centropogon_costaricae",9.45,-83.53
"Centropogon_costaricae",8.9,-82.75
"Centropogon_costaricae",9.73,-83.93
"Centropogon_costaricae",10.133333,-84.1
"Centropogon_costaricae",9.685778,-83.872194
"Centropogon_costaricae",9.386111,-83.806389
"Centropogon_costaricae",9.56888,-83.73527
"Centropogon_costaricae",9.84,-84.12
"Centropogon_costaricae",9.654167,-83.840555
"Centropogon_costaricae",9.6,-83.75
"Centropogon_costaricae",9.090217,-82.869867
"Centropogon_costaricae",10.30888,-84.79083
"Centropogon_costaricae",9.2,-83.058333
"Centropogon_costaricae",10.30888,-84.79555
"Centropogon_costaricae",10.283333,-84.766667
"Centropogon_costaricae",9.5,-83.53
"Centropogon_costaricae",9.616667,-83.816667
"Centropogon_costaricae",9.54,-83.59
"Centropogon_costaricae",9.09615,-82.873717
"Centropogon_costaricae",9.55,-83.65
"Centropogon_costaricae",10.29,-84.78
"Centropogon_costaricae",10.31055,-84.80583
"Centropogon_costaricae",9.618056,-83.816667
"Centropogon_costaricae",10.19306,-84.10417
"Centropogon_costaricae",10.083,-84.083
"Centropogon_costaricae",10.175,-84.108
"Centropogon_costaricae",8.507188,-80.102665
"Centropogon_costaricae",9.5075,-83.8375
"Centropogon_costaricae",9.67,-83.83
"Centropogon_costaricae",9.67,-83.88
"Centropogon_costaricae",9.87778,-84.15
"Centropogon_costaricae",10.30264,-84.79517
"Centropogon_costaricae",8.89306,-82.61681
"Centropogon_costaricae",9.5,-83.75
"Centropogon_costaricae",9.8333,-83.75
"Centropogon_costaricae",10.5,-84.5
"Centropogon_costaricae",10.5893,-85.2923
"Centropogon_costaricae",9.55,-83.8
"Centropogon_costaricae",10.286111,-84.683333
"Centropogon_costaricae",9.864722,-84.143611
"Centropogon_costaricae",9.627778,-83.852778
"Centropogon_costaricae",9.579167,-84.084722
"Centropogon_costaricae",9.535,-83.811389
"Centropogon_costaricae",9.877194,-84.142194
"Centropogon_costaricae",9.51,-83.58
"Centropogon_costaricae",9.71,-84.12
"Centropogon_costaricae",9.53,-83.58
"Centropogon_costaricae",9.566667,-83.733333
"Centropogon_costaricae",9.5583,-83.7247
"Centropogon_costaricae",10.355,-84.64944
"Centropogon_costaricae",10.306111,-84.7825
"Centropogon_costaricae",10.24,-84.74
"Centropogon_costaricae",9.64694,-83.84583
"Centropogon_costaricae",9.68,-83.98
"Centropogon_costaricae",9.54111,-83.59139
"Centropogon_costaricae",9.58,-83.8
"Centropogon_costaricae",9.5,-83.83
"Centropogon_costaricae",9.85,-84.14
"Centropogon_costaricae",9.61,-83.81
"Centropogon_costaricae",9.58,-83.76
"Centropogon_costaricae",10.16,-84.1
"Centropogon_costaricae",9.55,-83.68
"Centropogon_costaricae",9.91,-84.25
"Centropogon_costaricae",9.56,-83.8
"Centropogon_costaricae",10.3,-84.78
"Centropogon_costaricae",10.08,-84.08
"Centropogon_costaricae",9.8,-83.49
"Centropogon_costaricae",9.73,-83.95
"Centropogon_costaricae",9.55,-83.72
"Centropogon_costaricae",9.56,-83.66
"Centropogon_costaricae",9.55,-83.75
"Centropogon_costaricae",10.28,-84.68
"Centropogon_costaricae",9.21,-83.05
"Centropogon_costaricae",9.62,-83.85
"Centropogon_costaricae",9.57,-83.8
"Centropogon_costaricae",9.6,-83.83
"Centropogon_costaricae",9.53,-83.81
"Centropogon_costaricae",9.65,-83.85
"Centropogon_costaricae",9.56,-83.7
"Centropogon_costaricae",9.56,-83.76
"Centropogon_costaricae",9.55,-83.69
"Centropogon_costaricae",9.7,-84.03
"Centropogon_costaricae",9.55,-83.66
"Centropogon_costaricae",10.3,-84.76
"Centropogon_costaricae",9.66,-83.85
"Centropogon_costaricae",9.6,-83.8
"Centropogon_costaricae",10.7,-84.99
"Centropogon_costaricae",10.93333,-85.45
"Centropogon_costaricae",10.298056,-84.795833
"Centropogon_costaricae",9.654102,-83.840678
